


Epoch [1/50], Average Loss: 1.133, Train Acc: 0.833, Train IoU: 0.542,Validation Acc: 0.717, Validation IoU: 0.476
Epoch [2/50], Average Loss: 0.847, Train Acc: 0.804, Train IoU: 0.640,Validation Acc: 0.779, Validation IoU: 0.548
Epoch [1/200], Average Loss: 0.772, Train Acc: 0.840, Train IoU: 0.669,Validation Acc: 0.840, Validation IoU: 0.626
Epoch [2/200], Average Loss: 0.729, Train Acc: 0.880, Train IoU: 0.684,Validation Acc: 0.824, Validation IoU: 0.626
Epoch [3/200], Average Loss: 0.695, Train Acc: 0.844, Train IoU: 0.697,Validation Acc: 0.827, Validation IoU: 0.632
Epoch [4/200], Average Loss: 0.670, Train Acc: 0.734, Train IoU: 0.706,Validation Acc: 0.838, Validation IoU: 0.632
Epoch [5/200], Average Loss: 0.646, Train Acc: 0.889, Train IoU: 0.717,Validation Acc: 0.834, Validation IoU: 0.646
Epoch [6/200], Average Loss: 0.624, Train Acc: 0.769, Train IoU: 0.726,Validation Acc: 0.847, Validation IoU: 0.631
Epoch [7/200], Average Loss: 0.575, Train Acc: 0.800, Train IoU: 0.749,Validation Acc: 0.857, Validation IoU: 0.679
Epoch [8/200], Average Loss: 0.558, Train Acc: 0.858, Train IoU: 0.760,Validation Acc: 0.862, Validation IoU: 0.681
Epoch [9/200], Average Loss: 0.550, Train Acc: 0.872, Train IoU: 0.765,Validation Acc: 0.875, Validation IoU: 0.683
Epoch [10/200], Average Loss: 0.545, Train Acc: 0.790, Train IoU: 0.769,Validation Acc: 0.873, Validation IoU: 0.680
Epoch [11/200], Average Loss: 0.538, Train Acc: 0.905, Train IoU: 0.776,Validation Acc: 0.861, Validation IoU: 0.676
Epoch [12/200], Average Loss: 0.529, Train Acc: 0.902, Train IoU: 0.782,Validation Acc: 0.861, Validation IoU: 0.676
Epoch [13/200], Average Loss: 0.521, Train Acc: 0.904, Train IoU: 0.790,Validation Acc: 0.859, Validation IoU: 0.675
Epoch [14/200], Average Loss: 0.518, Train Acc: 0.867, Train IoU: 0.792,Validation Acc: 0.867, Validation IoU: 0.678
Epoch [15/200], Average Loss: 0.518, Train Acc: 0.858, Train IoU: 0.793,Validation Acc: 0.850, Validation IoU: 0.670
Epoch [16/200], Average Loss: 0.516, Train Acc: 0.909, Train IoU: 0.795,Validation Acc: 0.857, Validation IoU: 0.679
Epoch [17/200], Average Loss: 0.515, Train Acc: 0.866, Train IoU: 0.796,Validation Acc: 0.859, Validation IoU: 0.672
Epoch [18/200], Average Loss: 0.513, Train Acc: 0.893, Train IoU: 0.797,Validation Acc: 0.855, Validation IoU: 0.678
Epoch [19/200], Average Loss: 0.514, Train Acc: 0.891, Train IoU: 0.797,Validation Acc: 0.853, Validation IoU: 0.677
Epoch [20/200], Average Loss: 0.513, Train Acc: 0.893, Train IoU: 0.798,Validation Acc: 0.856, Validation IoU: 0.680
Epoch [21/200], Average Loss: 0.513, Train Acc: 0.841, Train IoU: 0.798,Validation Acc: 0.849, Validation IoU: 0.668
Epoch [22/200], Average Loss: 0.514, Train Acc: 0.907, Train IoU: 0.797,Validation Acc: 0.858, Validation IoU: 0.680
Epoch [23/200], Average Loss: 0.512, Train Acc: 0.878, Train IoU: 0.798,Validation Acc: 0.859, Validation IoU: 0.679
Epoch [24/200], Average Loss: 0.513, Train Acc: 0.906, Train IoU: 0.798,Validation Acc: 0.844, Validation IoU: 0.667
Epoch [25/200], Average Loss: 0.513, Train Acc: 0.914, Train IoU: 0.798,Validation Acc: 0.862, Validation IoU: 0.679
Epoch [26/200], Average Loss: 0.513, Train Acc: 0.844, Train IoU: 0.798,Validation Acc: 0.853, Validation IoU: 0.678
Epoch [27/200], Average Loss: 0.513, Train Acc: 0.870, Train IoU: 0.798,Validation Acc: 0.850, Validation IoU: 0.674
Epoch [28/200], Average Loss: 0.513, Train Acc: 0.859, Train IoU: 0.798,Validation Acc: 0.856, Validation IoU: 0.678
